scholarship_program_name,promoter,funds,funds_in_rupiah,gpa,religion,major_study,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,low_income,background,total_awardee,essay,smp,sma,sarjana,fresh_graduate,education_level
Curry & C/O '22 Scholarship,Kimora Jane Curry,500,6500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Jared Ethan Trueba Memorial Scholarship,The Trueba Family,500,6500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Linda Hicks Memorial Scholarship,Calvin Hicks and Tanya Minor,1000,13000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
Nitro No-Essay Scholarship,Nitro College,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,FALSE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Niche No-Essay Scholarship,Niche,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,FALSE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
ScholarshipOwl No-Essay Scholarship,ScholarshipOwl,1000,13000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,4,FALSE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
CollegeVine $2000 No-Essay Scholarship,CollegeVine,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,FALSE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Patrick B.Moore Memorial Scholarship,Friends and Family of Patrick B. Moore,500,6500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
CampusReel $2000 No-Essay Sweepstakes,CampusReel,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,FALSE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Diane Amendt Memorial Scholarship for the Arts,Swift,1000,13000000,0,Publik,Arts,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Richard P. Mullen Memorial Scholarship,John Baptista,500,6500000,0,Publik,Engineering,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Craig Huffman Memorial Scholarship,Huffman Family,2000,26000000,0,Publik,Aviation,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
"Across Cultures ""Expand Your Horizons"" Scholarship",Ben Schneider,1000,13000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Growing Up in the Family Restaurant Business Scholarship,The Lam-Wong,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,TRUE,None,FALSE,First-generation,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
GojiCenter Animation Scholarship,GojiCenter,2000,26000000,0,Publik,Graphic Design/Animation/VFX,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Korean Men and Women Scholarship,Sihyeon Yu,500,6500000,3.0,Publik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Elevate Women in Technology Scholarship,Calvin Rosser,500,6500000,0,Publik,STEM,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Elevate Mental Health Awareness Scholarship,Calvin Rosser,500,6500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Be the Change Essay Scholarship,Paris Dimick,1000,13000000,3.3,Publik,Any,TRUE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering,2,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
Sharen and Mila Kohute Scholarship,Kohute Family,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,TRUE,None,FALSE,First-generation,2,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Al-Haj Abdallah R Abdallah Muslim Scholarship,Abdallah,1000,13000000,3.0,Islam,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,Active in mosque,1,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
"Jason L. Berry ""Art Is Life!"" Scholarship",Roberta Berry,575,7475000,0,Publik,Art/Graphic Design,FALSE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering,1,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
