scholarship_program_name,promoter,funds,education_level,region,race,religion,major_study,gpa,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,enrollment_pattern,low_income,background,total_awardee,deadline,essay,funding_type,scholarship_status
Curry & C/O '22 Scholarship,Kimora Jane Curry,500,Senior High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,08/15/2023,TRUE,Donor,Open
Jared Ethan Trueba Memorial Scholarship,The Trueba Family,500,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,04/01/2024,TRUE,Donor,Open
Linda Hicks Memorial Scholarship,Calvin Hicks and Tanya Minor,1000,Undergraduate,All USA States,African American,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/28/2023,TRUE,Donor,Open
Nitro No-Essay Scholarship,Nitro College,2000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/31/2023,FALSE,Sponsored,Open
Niche No-Essay Scholarship,Niche,2000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/31/2021,FALSE,Sponsored,Open
ScholarshipOwl No-Essay Scholarship,ScholarshipOwl,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,4,04/30/2023,FALSE,Sponspored,Open
CollegeVine $2000 No-Essay Scholarship,CollegeVine,2000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,06/30/2023,FALSE,Sponsored,Open
Patrick B.Moore Memorial Scholarship,Friends and Family of Patrick B. Moore,500,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,10/01/2023,TRUE,Donor,Open
CampusReel $2000 No-Essay Sweepstakes,CampusReel,2000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,05/31/2023,FALSE,Sponsored,Open
Diane Amendt Memorial Scholarship for the Arts,Swift,1000,Any,All USA States,,Public,Arts,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,08/05/2023,TRUE,Donor,Open
Richard P. Mullen Memorial Scholarship,John Baptista,500,Any,All USA States,,Public,Engineering,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,11/15/2023,TRUE,Donor,Open
Craig Huffman Memorial Scholarship,Huffman Family,2000,Any,All USA States,,Public,Aviation,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,10/15/2023,TRUE,Donor,Open
"Across Cultures ""Expand Your Horizons"" Scholarship",Ben Schneider,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,04/28/2024,TRUE,Donor,Open
Growing Up in the Family Restaurant Business Scholarship,The Lam-Wong,2000,Senior High School-Undergraduate,All USA States,BIPOC,Public,Any,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,08/01/2023,TRUE,Donor,Open
GojiCenter Animation Scholarship,GojiCenter,2000,High School-Undergraduate,All USA States,,Public,Graphic Design/Animation/VFX,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,10/01/2023,TRUE,Donor,Open
Korean Men and Women Scholarship,Sihyeon Yu,500,High School-Undergraduate,All USA States,Korean,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,10/01/2023,TRUE,Donor,Open
Elevate Women in Technology Scholarship,Calvin Rosser,500,Any,All USA States,,Public,STEM,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,11/30/2023,TRUE,Donor,Open
