scholarship_program_name,promoter,funds_in_rupiah,gpa,religion,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,total_awardee,essay,SMP-SMA,SMA,Sarjana,SMP-SMA-Sarjana,SMA-Sarjana,Sarjana-Fresh Graduate,Fresh Graduate,SMP-SMA-Sarjana-Fresh Graduate,education_level
Curry & C/O '22 Scholarship,Kimora Jane Curry,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Jared Ethan Trueba Memorial Scholarship,The Trueba Family,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
Linda Hicks Memorial Scholarship,Calvin Hicks and Tanya Minor,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Nitro No-Essay Scholarship,Nitro College,0.06060606060606061,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Niche No-Essay Scholarship,Niche,0.06060606060606061,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
ScholarshipOwl No-Essay Scholarship,ScholarshipOwl,0.030303030303030304,0.0,3,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,1,5
CollegeVine $2000 No-Essay Scholarship,CollegeVine,0.06060606060606061,0.0,3,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,1,5
Patrick B.Moore Memorial Scholarship,Friends and Family of Patrick B. Moore,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
CampusReel $2000 No-Essay Sweepstakes,CampusReel,0.06060606060606061,0.0,3,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,1,5
Diane Amendt Memorial Scholarship for the Arts,Swift,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Richard P. Mullen Memorial Scholarship,John Baptista,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Craig Huffman Memorial Scholarship,Huffman Family,0.06060606060606061,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
"Across Cultures ""Expand Your Horizons"" Scholarship",Ben Schneider,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Growing Up in the Family Restaurant Business Scholarship,The Lam-Wong,0.06060606060606061,0.0,3,0,2,0,0,1,3,0,1,0,0,0,0,1,0,0,0,2
GojiCenter Animation Scholarship,GojiCenter,0.06060606060606061,0.0,3,0,2,0,0,0,3,1,1,0,0,0,1,0,0,0,0,4
Korean Men and Women Scholarship,Sihyeon Yu,0.015151515151515152,3.0,3,1,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Elevate Women in Technology Scholarship,Calvin Rosser,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Elevate Mental Health Awareness Scholarship,Calvin Rosser,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Be the Change Essay Scholarship,Paris Dimick,0.030303030303030304,3.3,3,1,2,0,1,0,3,1,1,0,0,1,0,0,0,0,0,6
Sharen and Mila Kohute Scholarship,Kohute Family,0.06060606060606061,0.0,3,0,2,0,0,1,3,1,1,0,0,0,1,0,0,0,0,4
Al-Haj Abdallah R Abdallah Muslim Scholarship,Abdallah,0.030303030303030304,3.0,0,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
"Jason L. Berry ""Art Is Life!"" Scholarship",Roberta Berry,0.017424242424242425,0.0,3,0,2,0,1,0,3,0,1,0,0,1,0,0,0,0,0,6
ScholarshipOwl No-Essay Scholarship,Bold,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Brown Skin Agenda Aesthetics & Cosmetology Scholarship,Vitality Institute,0.30303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Appalachian Region Vocational Scholarship,Daelyn Chaney,0.030303030303030304,0.0,3,0,2,0,0,1,3,0,1,0,0,0,1,0,0,0,0,4
Heroes in High School Resilience Scholarship,Anthony Tran,0.024242424242424242,3.0,3,1,2,0,0,1,3,0,1,0,1,0,0,0,0,0,0,1
Cyrilla Olapeju Sanni Scholarship Fund,Cyrilla Olapeju Sanni Scholarship Fund,0.030303030303030304,3.0,3,1,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
"Richard ""88 Fingers"" Turner Jr. Music Scholarship",Tiffanie Turner,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Cardel Love Scholarship,Waynika Hall,0.015151515151515152,0.0,3,0,2,0,0,1,3,0,1,0,1,0,0,0,0,0,0,1
CEW IV Foundation Scholarship Program,Clyde E. Woodroffe IV Foundation,0.015151515151515152,3.0,3,1,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Judy Fowler Memorial Scholarship,Fowler Family,0.02727272727272727,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
Jacob Naumann Memorial Scholarship,Naumann Family,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Creative Arts Scholarship,The Studio LLC,0.09090909090909091,0.0,3,0,2,0,0,0,3,1,1,0,0,0,1,0,0,0,0,4
Team Crosby Forever Veterinary Medicine Scholarship,Dennis Narlock,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Kelly O. Memorial Nursing Scholarship,Kate Smith,0.10606060606060606,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
FocusIT's Women in IT Scholarship,focusIT,0.15151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Dark and Light Scholarship,Waynika Hall,0.015151515151515152,0.0,3,0,2,0,0,1,3,0,1,0,1,0,0,0,0,0,0,1
Bernard W. Creque III Scholarship,Creque,0.07575757575757576,0.0,3,0,2,0,0,0,3,4,1,0,0,0,0,1,0,0,0,2
Dylan's Journey Memorial Scholarship,Dylan Prosser,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Rose Browne Memorial Scholarship for Nursing,Marie Browne-Lileika & Meredith Jose,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Joseph A. Venuti Marine Science & Conservation Scholarship,Boston Reefers Society,0.30303030303030304,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
Boundless Scholarship,Griffin Furlong,0.06060606060606061,3.0,3,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
Maureen C. Pace Memorial Nursing Scholarship,The Pace Family,0.06060606060606061,3.0,3,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Joshua A. Vaughn Memorial Scholarship,Jared Burton,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Wieland Nurse Application Scholarship,Wieland Healthcare,0.07575757575757576,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
I Can Do Anything Scholarship,The Scholarship Collective,0.030303030303030304,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
Samuel D. Hartley Memorial Scholarship,Hartley Family,0.015151515151515152,3.0,3,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Johnna's Legacy Memorial Scholarship,Living Chronic Faith,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Academic Liberty & Free Speech Scholarship,Gregory Price,0.045454545454545456,0.0,3,0,2,0,0,0,3,2,1,0,0,1,0,0,0,0,0,6
Justice Adolpho A. Birch Jr. Scholarship,John Ferguson III (Trey),0.15151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Trever David Clark Memorial Scholarship,The Dawson-Clark Family,0.26515151515151514,0.0,3,0,2,0,0,0,3,5,1,0,0,0,0,0,0,0,1,5
Stafford R. Ultsch Legacy Scholarship,Ultsch Family,0.03787878787878788,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
Texas Women Empowerment,Pruett Family,0.18181818181818182,3.0,3,1,2,0,0,0,3,2,1,0,0,0,0,0,0,0,1,5
Endeavor Design Scholarship,Thom Gridley,0.05651515151515152,0.0,3,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1
Ruth Hazel Scruggs King Scholarship,Run With Me Inc,0.06060606060606061,3.0,3,1,2,0,1,0,3,3,1,0,1,0,0,0,0,0,0,1
Vickie Drum Memorial Scholarship,David Cline,0.045454545454545456,3.0,3,1,1,0,0,0,5,0,1,0,0,1,0,0,0,0,0,6
International Studies Scholarship,Gregory Price,0.07575757575757576,0.0,3,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,1,5
Mrs. Yvonne L. Moss Scholarship,Marcus and Veronica Lockhart,0.07575757575757576,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Kate Szuberla Jauch Scholarship,Kathleen Gravelle,0.4103030303030303,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
Taylor Swift 1989 Scholarship,Bold,0.06027272727272727,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
La Santana Scholarship,Mango Street Dreaming,0.01575757575757576,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
